timestamp,symbol,name,side,qty,price,amount,balance_after,reason
2026-06-02T09:53:39,498400,KODEX 200타겟위클리커버드콜,buy,1,27670,27670,0,
2026-06-04T09:13:38,091160,KODEX 반도체,buy,1,166100,166100,0,
2026-06-04T11:16:38,091160,KODEX 반도체,sell,1,168510,168510,0,
2026-06-04T14:44:06,091160,KODEX 반도체,buy,1,169405,169405,0,
2026-06-04T15:21:08,091160,KODEX 반도체,sell,1,168400,168400,0,
2026-06-05T09:11:01,498400,KODEX 200타겟위클리커버드콜,buy,1,26000,26000,0,
2026-06-05T10:00:00,091160,KODEX 반도체,buy,1,169430,169430,0,백필: 6/8 손절매도의 누락 매수 복구 (net 균형)
2026-06-08T12:50:18,091160,급등주,sell,1,148420,148420,0,매도: 손절매 (-12.4% ≤ -3%)
2026-06-08T12:50:19,498400,급등주,sell,2,24415,48830,0,매도: 손절매 (-9.0% ≤ -3%)
2026-06-08T14:01:36,214980,KODEX 단기채권PLUS,buy,1,114625,114625,0,방어자산 매수: CRISIS 레짐 — 모멘텀 0.0435
2026-06-09T01:36:17,PSQ,ProShares Short QQQ (1x inverse 나스닥),buy,7,2592,18144,0,US 매수: 변동성 돌파 + TA +16
2026-06-09T04:45:06,PSQ,US_PSQ,sell,7,2606,18242,0,매도: 미국장 마감 청산
2026-06-10T00:39:53,XLF,Financial Select Sector SPDR (금융),buy,3,5213,15639,0,US 매수: 변동성 돌파 + TA +22
2026-06-10T04:45:44,XLF,US_XLF,sell,3,5230,15690,0,매도: 미국장 마감 청산
2026-06-10T15:20:24,214980,급등주,sell,1,114665,114665,0,매도: 장마감청산
2026-06-11T01:22:21,SCHG,Schwab US Large-Cap Growth (성장),buy,6,3313,19878,0,US 매수: 변동성 돌파 + TA +21
2026-06-11T04:45:13,SCHG,US_SCHG,sell,6,3296,19776,0,매도: 미국장 마감 청산
2026-06-12T02:31:23,SCHG,Schwab US Large-Cap Growth (성장),buy,6,3316,19896,0,US 매수: 변동성 돌파 + TA +20
2026-06-12T04:45:21,SCHG,US_SCHG,sell,6,3342,20052,0,매도: 미국장 마감 청산
2026-06-16T02:31:49,SCHG,Schwab US Large-Cap Growth (성장),buy,6,3426,20556,0,US 매수: 변동성 돌파 + TA +4
2026-06-16T04:45:43,SCHG,US_SCHG,sell,6,3420,20520,0,매도: 미국장 마감 청산
2026-06-16T09:11:05,117700,KODEX 철강,buy,2,8140,16280,0,"매수: 융합 STRONG_BUY (확률 73%, TA +23, 돌파 O)"
2026-06-16T09:31:05,117700,ETF,sell,1,8400,8400,0,"분할매도: [분할] 1차 익절 (+3.2% ≥ 3%, 보유분의 50% 매도)"
2026-06-16T09:45:05,117700,ETF,sell,1,8505,8505,0,"매도: 추적 손절 (고점 8,640원에서 -1.6% 하락, 수익 +4.5%)"
2026-06-16T10:58:23,229200,KODEX KOSDAQ150,buy,1,17810,17810,0,"매수: 융합 STRONG_BUY (확률 67%, TA +28, 돌파 X)"
2026-06-17T11:26:55,229200,ETF,sell,1,18265,18265,0,"매도: ROI 청산 (1037분 보유, 수익 +2.5% ≥ 2.5%)"
2026-06-18T09:11:51,498400,KODEX 200타겟위클리커버드콜,buy,1,27660,27660,0,인컴(커버드콜) 매수 — 모멘텀 7.3707
2026-06-19T01:01:03,PSQ,ProShares Short QQQ (1x inverse 나스닥),buy,8,2522,20176,0,US 매수: 변동성 돌파 + TA +26
2026-06-19T04:45:52,PSQ,US_PSQ,sell,8,2513,20104,0,매도: 미국장 마감 청산
2026-06-19T09:02:56,498400,급등주,sell,1,29100,29100,0,"분할매도: [분할] 1차 익절 (+5.2% ≥ 3%, 보유분의 50% 매도)"
2026-06-19T13:24:15,069500,KODEX KOSPI200,buy,1,146520,146520,0,"매수: 융합 STRONG_BUY (확률 64%, TA +19, 돌파 X)"
2026-06-23T03:22:09,PSQ,ProShares Short QQQ (1x inverse 나스닥),buy,8,2521,20168,0,US 매수: 변동성 돌파 + TA +18
2026-06-23T10:50:27,069500,ETF,sell,1,141950,141950,0,매도: 손절매 (-3.1% ≤ -3%)
2026-06-25T00:19:28,PSQ,US_PSQ,sell,8,2570,20560,0,매도: US 추적손절 (고점 $26.11에서 -1.5%)
2026-06-25T00:19:39,PSQ,ProShares Short QQQ (1x inverse 나스닥),buy,8,2570,20560,0,US 매수: 변동성 돌파 + TA +18
2026-06-25T04:45:28,PSQ,US_PSQ,sell,8,2604,20832,0,매도: 미국장 마감 청산
2026-06-26T00:24:32,SH,ProShares Short S&P500 (1x inverse),buy,6,3353,20118,0,US 매수: 변동성 돌파 + TA +13
2026-06-26T04:45:23,SH,US_SH,sell,6,3364,20184,0,매도: 미국장 마감 청산
2026-06-30T12:25:00,114800,KODEX 인버스,buy,276,903,249228,0,인버스 매수 백필: CAUTION 레짐 하락대응 (debug-once 미기록 복구)
2026-07-01T00:12:19,XLF,Financial Select Sector SPDR (금융),buy,4,5370,21480,0,US 매수: 변동성 돌파 + TA +24
2026-07-01T04:45:11,XLF,US_XLF,sell,4,5362,21448,0,매도: 미국장 마감 청산
2026-07-02T13:57:58,114800,급등주,sell,138,975,134550,0,"분할매도: [분할] 1차 익절 (+7.9% ≥ 3%, 보유분의 50% 매도)"
2026-07-03T09:00:39,114800,KODEX 인버스,sell,138,993,137034,0,"매도: 추적 손절 (고점 1,009원에서 -1.6% 하락, 수익 +9.8%)"
2026-07-03T09:00:42,069500,KODEX 200,buy,2,124700,249400,0,"조간 모멘텀 long: 강한 상승 아침추세 (전일대비 +0.95%, 시가대비 +0.25%)"
2026-07-03T09:02:40,069500,KODEX 200,sell,2,123175,246350,0,조간 청산: 손절 -1.22% (<= -1.0%)
2026-07-03T09:32:10,114800,KODEX 인버스,buy,291,1029,299439,0,"조간 모멘텀 inverse: 강한 하락 아침추세 (전일대비 -2.51%, 시가대비 -3.18%)"
2026-07-03T09:37:10,114800,KODEX 인버스,sell,291,1018,296238,0,조간 청산: 손절 -1.07% (<= -1.0%)
2026-07-03T10:10:59,114800,KODEX 인버스,buy,296,1011,299256,0,"조간 모멘텀 inverse: 하락 아침추세 (전일대비 -0.88%, 시가대비 -1.56%)"
2026-07-03T10:18:57,114800,KODEX 인버스,sell,296,999,295704,0,조간 청산: 손절 -1.19% (<= -1.0%)
2026-07-03T10:48:27,069500,KODEX 200,buy,2,125395,250790,0,"조간 모멘텀 long: 상승 아침추세 (전일대비 +1.51%, 시가대비 +0.81%)"
2026-07-03T11:12:56,069500,KODEX 200,sell,2,125445,250890,0,"매도: 본전이익 보존 (고점 +1.4%였다가 반전, +0.0%에서 손절 전 이익권 청산)"
2026-07-03T12:43:57,069500,KODEX 200,buy,2,125850,251700,0,"조간 모멘텀 long: 상승 아침추세 (전일대비 +1.88%, 시가대비 +1.18%)"
2026-07-03T13:27:27,069500,KODEX 200,sell,2,129100,258200,0,조간 청산: 익절 +2.58% (>= +2.5%)
2026-07-06T09:06:33,069500,KODEX 200,buy,2,133105,266210,0,"조간 모멘텀 long: 상승 아침추세 (전일대비 +1.60%, 시가대비 +0.26%)"
2026-07-06T09:24:32,069500,급등주,sell,2,133100,266200,0,"매도: 본전이익 보존 (고점 +1.0%였다가 반전 → -0.0%, 손절 전 이익권 청산)"
2026-07-06T09:54:03,069500,KODEX 200,buy,2,133095,266190,0,"조간 모멘텀 long: 상승 아침추세 (전일대비 +1.59%, 시가대비 +0.25%)"
2026-07-06T10:12:03,069500,KODEX 200,sell,2,131545,263090,0,조간 청산: 손절 -1.16% (<= -1.0%)
2026-07-06T10:49:33,114800,KODEX 인버스,buy,315,950,299250,0,"조간 모멘텀 inverse: 하락 아침추세 (전일대비 -0.69%, 시가대비 -2.00%)"
2026-07-06T11:00:32,114800,급등주,sell,315,950,299250,0,"매도: 본전이익 보존 (고점 +1.2%였다가 반전 → +0.0%, 손절 전 이익권 청산)"
2026-07-08T00:26:10,PSQ,PSQ,buy,11,2609,28699,0,"US모멘텀 inverse: 하락 아침추세 (전일대비 -2.19%, 시가대비 +0.00%)"
2026-07-08T04:45:06,PSQ,US_PSQ,sell,11,2606,28666,0,매도: 미국장 마감 청산
2026-07-08T09:00:39,114800,KODEX 인버스,buy,290,1031,298990,0,"조간 모멘텀 inverse: 하락 아침추세 (전일대비 -3.30%, 시가대비 -0.29%)"
2026-07-08T09:04:07,114800,급등주,sell,290,1027,297830,0,"매도: 본전이익 보존 (고점 +0.8%였다가 반전 → -0.4%, 손절 전 이익권 청산)"
2026-07-08T09:46:38,069500,KODEX 200,buy,2,124640,249280,0,"조간 모멘텀 long: 상승 아침추세 (전일대비 +0.75%, 시가대비 +3.89%)"
2026-07-08T10:02:37,069500,급등주,sell,2,124750,249500,0,"매도: 본전이익 보존 (고점 +0.9%였다가 반전 → +0.1%, 손절 전 이익권 청산)"
2026-07-08T13:06:39,114800,KODEX 인버스,buy,291,1027,298857,0,"조간 모멘텀 inverse: 하락 아침추세 (전일대비 -3.04%, 시가대비 -0.02%)"
2026-07-08T13:40:44,114800,KODEX 인버스,sell,291,1047,304677,0,"조간 청산: 트레일링 익절 (고점 +2.92% 대비 -0.95%, 손익 +1.95%)"
2026-07-09T00:14:45,PSQ,PSQ,buy,10,2622,26220,0,"US모멘텀 inverse: 하락 아침추세 (전일대비 -0.85%, 시가대비 -0.23%)"
2026-07-09T04:45:40,PSQ,US_PSQ,sell,10,2598,25980,0,매도: 미국장 마감 청산
2026-07-09T09:11:33,069500,KODEX 200,buy,2,121350,242700,0,"조간 모멘텀 long: 상승 아침추세 (전일대비 +3.84%, 시가대비 +0.03%)"
2026-07-09T09:40:05,069500,KODEX 200,sell,2,120070,240140,0,조간 청산: 손절 -1.05% (<= -1.0%)
2026-07-09T10:10:03,069500,KODEX 200,buy,2,121375,242750,0,"조간 모멘텀 long: 상승 아침추세 (전일대비 +3.86%, 시가대비 +0.05%)"
2026-07-09T10:33:03,069500,KODEX 200,sell,2,119985,239970,0,조간 청산: 손절 -1.15% (<= -1.0%)
2026-07-09T11:49:33,114800,KODEX 인버스,buy,283,1057,299131,0,"조간 모멘텀 inverse: 하락 아침추세 (전일대비 -0.70%, 시가대비 -4.34%)"
2026-07-09T12:08:03,114800,KODEX 인버스,sell,283,1065,301395,0,"조간 청산: 트레일링 익절 (고점 +1.61% 대비 -0.84%, 손익 +0.76%)"
2026-07-09T14:41:21,114800,KODEX 인버스,buy,59,1062,62658,0,인버스 매수: BEAR 레짐 하락대응 — 인버스 돌파 진입 + TA +13
2026-07-09T14:42:51,114800,KODEX 인버스,buy,59,1063,62717,0,인버스 매수: BEAR 레짐 하락대응 — 인버스 돌파 진입 + TA +13
2026-07-09T14:44:21,114800,KODEX 인버스,buy,59,1059,62481,0,인버스 매수: BEAR 레짐 하락대응 — 인버스 돌파 진입 + TA +13
2026-07-09T14:45:21,114800,KODEX 인버스,buy,58,1058,61364,0,인버스 매수: BEAR 레짐 하락대응 — 인버스 돌파 진입 + TA +13
2026-07-10T02:11:35,PSQ,US_PSQ,sell,11,2549,28039,0,매도: US 손절 (-2.5% ≤ -2.5%)
2026-07-10T09:00:02,114800,급등주,sell,235,1043,245105,0,매도: 시가매도
2026-07-10T10:30:44,069500,KODEX 200,buy,2,122390,244780,0,"조간 모멘텀 long: 상승 아침추세 (전일대비 +3.98%, 시가대비 +0.11%)"
2026-07-10T10:54:13,069500,급등주,sell,2,122500,245000,0,"매도: 본전이익 보존 (고점 +0.8%였다가 반전 → +0.1%, 손절 전 이익권 청산)"
2026-07-10T11:19:26,069500,KODEX 200,buy,3,121650,364950,0,"수동 롱(회복목적, 봇 손절/트레일 관리, 오버나이트 금지)"
2026-07-10T13:06:00,069500,KODEX 200,sell,3,123990,371970,0,수동 청산: 회복목적 롱 익절 +1.92%
2026-07-10T13:06:44,069500,KODEX 200,buy,2,123980,247960,0,"조간 모멘텀 long: 상승 아침추세 (전일대비 +5.34%, 시가대비 +1.42%)"
2026-07-10T14:04:44,069500,KODEX 200,sell,2,122730,245460,0,조간 청산: 손절 -1.01% (<= -1.0%)
2026-07-13T09:01:05,114800,KODEX 인버스,buy,197,1028,202516,0,"조간 모멘텀 inverse: 하락 아침추세 (전일대비 -1.01%, 시가대비 -0.20%)"
2026-07-13T09:03:32,114800,KODEX 인버스,sell,197,1017,200349,0,조간 청산: 손절 -1.07% (<= -1.0%)
2026-07-13T09:33:16,114800,KODEX 인버스,buy,196,1033,202468,0,"조간 모멘텀 inverse: 하락 아침추세 (전일대비 -1.48%, 시가대비 -0.68%)"
2026-07-13T10:15:38,114800,KODEX 인버스,sell,196,1049,205604,0,"조간 청산: 트레일링 익절 (고점 +2.52% 대비 -0.94%, 손익 +1.55%)"
2026-07-13T10:45:11,114800,KODEX 인버스,buy,189,1071,202419,0,"조간 모멘텀 inverse: 하락 아침추세 (전일대비 -5.22%, 시가대비 -4.44%)"
2026-07-13T11:11:08,114800,KODEX 인버스,sell,189,1081,204309,0,"조간 청산: 트레일링 익절 (고점 +1.77% 대비 -0.83%, 손익 +0.93%)"
2026-07-13T14:23:48,114800,KODEX 인버스,buy,46,1115,51290,0,인버스 매수: CRISIS 레짐 하락대응 — 인버스 돌파 진입 + TA +20
2026-07-13T14:25:16,114800,KODEX 인버스,buy,46,1115,51290,0,인버스 매수: CRISIS 레짐 하락대응 — 인버스 돌파 진입 + TA +20
2026-07-13T14:26:18,114800,KODEX 인버스,buy,45,1117,50265,0,인버스 매수: CRISIS 레짐 하락대응 — 인버스 돌파 진입 + TA +20
2026-07-13T14:27:46,114800,KODEX 인버스,buy,45,1117,50265,0,인버스 매수: CRISIS 레짐 하락대응 — 인버스 돌파 진입 + TA +20
2026-07-13T15:20:18,114800,급등주,sell,182,1120,203840,0,매도: 장마감청산
2026-07-14T00:22:44,PSQ,PSQ,buy,11,2571,28281,0,"US모멘텀 inverse: 하락 아침추세 (전일대비 -1.11%, 시가대비 +0.00%)"
2026-07-14T04:45:40,PSQ,US_PSQ,sell,11,2593,28523,0,매도: 미국장 마감 청산
2026-07-14T09:01:10,069500,KODEX 200,buy,2,109505,219010,0,"조간 모멘텀 long: 상승 아침추세 (전일대비 +0.63%, 시가대비 +0.63%)"
2026-07-14T09:03:10,069500,KODEX 200,sell,2,108140,216280,0,조간 청산: 손절 -1.25% (<= -1.0%)
2026-07-14T09:06:09,114800,급등주,sell,182,1145,208390,0,"매도: ROI 청산 (1054분 보유, 수익 +2.6% ≥ 2.5%)"
2026-07-14T09:33:40,069500,KODEX 200,buy,2,109530,219060,0,"조간 모멘텀 long: 상승 아침추세 (전일대비 +0.65%, 시가대비 +0.65%)"
2026-07-14T09:41:40,069500,KODEX 200,sell,2,108160,216320,0,조간 청산: 손절 -1.25% (<= -1.0%)
2026-07-14T10:11:10,069500,KODEX 200,buy,2,110815,221630,0,"조간 모멘텀 long: 상승 아침추세 (전일대비 +1.83%, 시가대비 +1.83%)"
2026-07-14T10:35:41,069500,KODEX 200,sell,2,109700,219400,0,조간 청산: 손절 -1.01% (<= -1.0%)
2026-07-14T11:23:09,114800,급등주,sell,112,1143,128016,0,"분할매도: [분할] 1차 익절 (+3.2% ≥ 3%, 보유분의 50% 매도)"
2026-07-14T11:38:39,114800,급등주,sell,113,1135,128255,0,"매도: 추적 손절 (고점 1,154원에서 -1.6% 하락, 수익 +2.4%)"
2026-07-14T23:27:03,QQQM,QQQM,buy,1,29545,29545,0,"US모멘텀 long: 상승 아침추세 (전일대비 +0.82%, 시가대비 +0.14%)"
2026-07-15T04:45:59,QQQM,US_QQQM,sell,1,29663,29663,0,매도: 미국장 마감 청산
2026-07-15T09:00:41,069500,KODEX 200,buy,2,117235,234470,0,"조간 모멘텀 long: 상승 아침추세 (전일대비 +6.85%, 시가대비 +0.56%)"
2026-07-15T09:36:08,069500,급등주,sell,2,117325,234650,0,"매도: 본전이익 보존 (고점 +0.8%였다가 반전 → +0.1%, 손절 전 이익권 청산)"
2026-07-15T10:06:39,069500,KODEX 200,buy,2,116705,233410,0,"조간 모멘텀 long: 상승 아침추세 (전일대비 +6.37%, 시가대비 +0.10%)"
2026-07-15T13:55:09,069500,KODEX 200,sell,2,118430,236860,0,"조간 청산: 트레일링 익절 (고점 +2.36% 대비 -0.86%, 손익 +1.48%)"
2026-07-16T00:23:41,PSQ,PSQ,buy,11,2584,28424,0,"US모멘텀 inverse: 하락 아침추세 (전일대비 -0.81%, 시가대비 -0.25%)"
2026-07-16T04:45:38,PSQ,US_PSQ,sell,11,2573,28303,0,매도: 미국장 마감 청산
2026-07-16T09:01:33,114800,KODEX 인버스,buy,275,1089,299475,0,"조간 모멘텀 inverse: 하락 아침추세 (전일대비 -5.02%, 시가대비 -0.22%)"
2026-07-16T10:05:32,114800,KODEX 인버스,sell,275,1103,303325,0,"조간 청산: 트레일링 익절 (고점 +2.11% 대비 -0.81%, 손익 +1.29%)"
2026-07-16T10:35:08,114800,KODEX 인버스,buy,269,1113,299397,0,"조간 모멘텀 inverse: 하락 아침추세 (전일대비 -7.24%, 시가대비 -2.55%)"
2026-07-16T11:23:32,114800,급등주,sell,269,1114,299666,0,"매도: 본전이익 보존 (고점 +0.9%였다가 반전 → +0.1%, 손절 전 이익권 청산)"
2026-07-16T11:53:03,114800,KODEX 인버스,buy,271,1103,298913,0,"조간 모멘텀 inverse: 하락 아침추세 (전일대비 -6.18%, 시가대비 -1.44%)"
2026-07-16T12:59:32,114800,급등주,sell,271,1104,299184,0,"매도: 본전이익 보존 (고점 +0.8%였다가 반전 → +0.1%, 손절 전 이익권 청산)"
2026-07-16T23:39:59,PSQ,PSQ,buy,11,2593,28523,0,"US모멘텀 inverse: 하락 아침추세 (전일대비 -0.85%, 시가대비 -0.07%)"
2026-07-17T00:00:59,PSQ,PSQ,buy,10,2593,25930,0,"US모멘텀 inverse: 하락 아침추세 (전일대비 -0.84%, 시가대비 +0.00%)"
